ticker,volume,open,close,high,low,window_start,transactions
JNJ,4877,160.575,160.58,160.58,160.565,1730487180000000000,105
JNJ,5311,160.59,160.54,160.59,160.54,1730487240000000000,116
JNJ,5999,160.55,160.56,160.57,160.55,1730487300000000000,164
JNJ,6322,160.55,160.62,160.62,160.54,1730487360000000000,188
JNJ,5067,160.61,160.62,160.635,160.6,1730487420000000000,119
JNJ,7137,160.615,160.64,160.64,160.61,1730487480000000000,149
JNJ,5215,160.645,160.605,160.645,160.6,1730487540000000000,148
JNJ,9410,160.6,160.57,160.63,160.57,1730487600000000000,206
JNJ,3977,160.565,160.575,160.5981,160.55,1730487660000000000,120
JNJ,10996,160.575,160.55,160.58,160.534,1730487720000000000,194
JNJ,4475,160.57,160.565,160.57,160.55,1730487780000000000,91
JNJ,4796,160.56,160.56,160.57,160.555,1730487840000000000,136
JNJ,4864,160.56,160.56,160.575436,160.555,1730487900000000000,162
JNJ,6956,160.55,160.58,160.593,160.55,1730487960000000000,241
JNJ,7024,160.5753,160.53,160.5753,160.515,1730488020000000000,205
JNJ,9210,160.53,160.59,160.59,160.525,1730488080000000000,230
JNJ,14923,160.58,160.585,160.65,160.55,1730488140000000000,330
JNJ,17576,160.6,160.59,160.64,160.58,1730488200000000000,266
JNJ,7475,160.595,160.595,160.6,160.565,1730488260000000000,192
JNJ,4992,160.6077,160.59,160.6136,160.58,1730488320000000000,131
JNJ,8711,160.59,160.57,160.5968,160.56,1730488380000000000,195
JNJ,5564,160.57,160.56,160.58,160.56,1730488440000000000,195
JNJ,9202,160.53,160.55,160.57,160.525,1730488500000000000,198
JNJ,6161,160.56,160.6,160.61,160.55,1730488560000000000,160
JNJ,5649,160.61,160.6,160.63,160.6,1730488620000000000,165
JNJ,9324,160.59,160.595,160.6051,160.59,1730488680000000000,174
JNJ,7082,160.6,160.61,160.62,160.59,1730488740000000000,132
JNJ,4677,160.605,160.625,160.63,160.5874,1730488800000000000,149
JNJ,4308,160.6281,160.63,160.64,160.625,1730488860000000000,145
JNJ,6781,160.62,160.6,160.62,160.581,1730488920000000000,157
JNJ,12446,160.5974,160.57,160.6,160.57,1730488980000000000,229
JNJ,6376,160.57,160.515,160.57,160.515,1730489040000000000,188
JNJ,7401,160.52,160.5272,160.56,160.51,1730489100000000000,210
JNJ,7824,160.55,160.52,160.555,160.51,1730489160000000000,176
JNJ,10188,160.515,160.455,160.53,160.45,1730489220000000000,205
JNJ,10230,160.45,160.43,160.455,160.383,1730489280000000000,256
JNJ,6736,160.42,160.38,160.435,160.37,1730489340000000000,196
JNJ,6000,160.39,160.39,160.395,160.34,1730489400000000000,184
JNJ,10289,160.4,160.45,160.46,160.395,1730489460000000000,251
JNJ,7749,160.44,160.42,160.44,160.41,1730489520000000000,199
JNJ,10716,160.42,160.37,160.42,160.35,1730489580000000000,283
JNJ,7956,160.38,160.34,160.39,160.34,1730489640000000000,175
JNJ,10465,160.35,160.38,160.38,160.3,1730489700000000000,288
JNJ,7681,160.39,160.33,160.39,160.33,1730489760000000000,244
JNJ,12626,160.35,160.28,160.35,160.275,1730489820000000000,227
JNJ,10912,160.275,160.21,160.28,160.21,1730489880000000000,231
JNJ,5714,160.215,160.25,160.2557,160.215,1730489940000000000,168
JNJ,8413,160.25,160.22,160.25,160.22,1730490000000000000,192
JNJ,9743,160.22,160.24,160.28,160.22,1730490060000000000,206
JNJ,8071,160.24,160.27,160.28,160.23,1730490120000000000,229
JNJ,5984,160.255,160.241,160.27,160.2301,1730490180000000000,144
JNJ,10278,160.24,160.16,160.24,160.16,1730490240000000000,257
JNJ,14645,160.15,160.105,160.16,160.09,1730490300000000000,292
JNJ,9177,160.11,160.16,160.16,160.11,1730490360000000000,228
JNJ,12530,160.16,160.16,160.165,160.125,1730490420000000000,255
JNJ,14835,160.145,160.13,160.15,160.1,1730490480000000000,317
JNJ,11517,160.13,160.16,160.165691,160.13,1730490540000000000,277
JNJ,28680,160.15,159.99,160.15,159.99,1730490600000000000,616
JNJ,26161,159.98,160,160.04,159.92,1730490660000000000,521
JNJ,17391,160,159.955,160.07,159.955,1730490720000000000,471
JNJ,28346,159.955,159.945,159.9634,159.88,1730490780000000000,449
JNJ,15567,159.95,160.02,160.03,159.935,1730490840000000000,426
JNJ,24664,160.01,160.025,160.11,160,1730490900000000000,482
JNJ,33474,160.025,160.045,160.12,160.025,1730490960000000000,566
JNJ,48172,160.04,159.98,160.06,159.979,1730491020000000000,660
JNJ,50430,159.98,159.995,160.01,159.95,1730491080000000000,810
JNJ,135240,159.99,160.14,160.155,159.985,1730491140000000000,1921
JNJ,237833,160.13,160.13,160.13,160.13,1730491200000000000,38
JNJ,1797,160.13,160.13,160.13,160.13,1730491440000000000,1
JNJ,442,160.02,160.02,160.02,160.02,1730491980000000000,5
JNJ,15838,160.13,160.13,160.13,160.13,1730492040000000000,2
JNJ,193,160.1,160.1,160.1,160.1,1730493900000000000,5
JNJ,202,160.13,160.13,160.13,160.13,1730494380000000000,1
JNJ,201,160.0456,160.0456,160.0456,160.0456,1730500560000000000,2
JPM,325,222.65,222.65,222.65,222.65,1730458440000000000,7
JPM,357,222.49,222.49,222.49,222.49,1730458860000000000,7
JPM,580,222.75,222.75,222.75,222.75,1730461380000000000,5
JPM,1350,222.15,222.43,222.6499,222.15,1730462400000000000,69
JPM,165,222.01,222.01,222.01,222.01,1730462460000000000,6
JPM,165,222.3,222.3,222.3,222.3,1730464200000000000,12
JPM,1019,222.13,222.13,222.13,222.13,1730464620000000000,27
JPM,606,222.13,222.13,222.13,222.13,1730464680000000000,9
JPM,280,222.3,222.3,222.3,222.3,1730464860000000000,9
JPM,183,223,223,223,223,1730465100000000000,9
JPM,1651,223.11,223.1,223.11,223.1,1730465640000000000,23
JPM,428,223.3,223.3,223.3,223.3,1730465760000000000,17
JPM,401,223.49,223.49,223.49,223.49,1730466240000000000,14
JPM,500,222.97,222.97,222.97,222.97,1730466360000000000,1
JPM,3998,221.92,221.92,221.92,221.92,1730466660000000000,1
JPM,3510,222.86,222.75,222.86,222.75,1730467200000000000,4
JPM,4000,222.75,222.75,222.75,222.75,1730467260000000000,1
JPM,938,223.64,223.49,223.64,223.49,1730467740000000000,20
JPM,129254,223.56,223.32,223.65,223.111,1730467800000000000,1500
JPM,17593,223.21,223.13,223.24,222.78,1730467860000000000,330
JPM,16240,223.2,223.405,223.55,223.04,1730467920000000000,232
JPM,15457,223.4,223.495,223.57,223.28,1730467980000000000,290
JPM,24128,223.51,223.0794,223.6285,223.0794,1730468040000000000,386
JPM,9631,223.07,223.5519,223.5519,223.06,1730468100000000000,200
JPM,32237,223.485,223.25,223.71,223.25,1730468160000000000,446
JPM,10348,223.265,223.65,223.65,223.265,1730468220000000000,259
JPM,43920,223.67,223.97,224.02,223.62,1730468280000000000,519
JPM,30388,223.995,223.89,224.03,223.78,1730468340000000000,467
JPM,10680,223.75,223.84,223.84,223.545,1730468400000000000,263
JPM,28162,223.89,224.03,224.035,223.78,1730468460000000000,455
JPM,20956,223.95,223.68,223.955,223.648,1730468520000000000,233
JPM,15907,223.71,223.56,223.83,223.56,1730468580000000000,313
JPM,16634,223.59,223.58,223.6225,223.48,1730468640000000000,245
JPM,13061,223.52,223.725,223.725,223.48,1730468700000000000,286
JPM,22227,223.75,223.92,223.95,223.75,1730468760000000000,539
JPM,11189,223.94,223.87,223.94,223.7952,1730468820000000000,486
JPM,27877,223.9,224.06,224.1,223.87,1730468880000000000,618
JPM,21879,224.07,224.26,224.26,224,1730468940000000000,459
JPM,22590,224.26,224.235,224.36,224.12,1730469000000000000,519
JPM,33424,224.24,224.26,224.36,224.11,1730469060000000000,501
JPM,30724,224.26,224.4,224.5,224.18,1730469120000000000,642
JPM,18728,224.425,224.35,224.425,224.23,1730469180000000000,561
JPM,18424,224.36,224.225,224.38,224.2,1730469240000000000,534
JPM,11850,224.215,224.095,224.215,224.01,1730469300000000000,429
JPM,13072,224.095,224.09,224.14,223.98,1730469360000000000,418
JPM,16259,224.05,224,224.11,223.98,1730469420000000000,416
JPM,16036,224,223.975,224.08,223.95,1730469480000000000,461
JPM,12727,223.975,224.08,224.14,223.94,1730469540000000000,451
JPM,17989,224.12,224.125,224.17,223.83,1730469600000000000,653
JPM,24705,224.1,224.05,224.11,223.88,1730469660000000000,671
JPM,19576,224.05,224.18,224.2899,224.05,1730469720000000000,872
JPM,14762,224.14,224.07,224.24,224.04,1730469780000000000,504
JPM,17545,224.13,224.375,224.38,224.0951,1730469840000000000,516
JPM,21740,224.33,224.26,224.41,224.26,1730469900000000000,433
JPM,18860,224.36,224.49,224.53,224.36,1730469960000000000,412
JPM,11232,224.49,224.4901,224.56,224.435,1730470020000000000,353
JPM,14445,224.52,224.61,224.65,224.51,1730470080000000000,376
JPM,13450,224.585,224.755,224.76,224.575,1730470140000000000,363
JPM,14842,224.77,224.72,224.7947,224.64,1730470200000000000,409
JPM,11582,224.7,224.68,224.76,224.64,1730470260000000000,422
JPM,16584,224.71,224.77,224.77,224.64,1730470320000000000,448
JPM,13224,224.79,224.815,224.83,224.71,1730470380000000000,466
JPM,21621,224.81,224.82,224.83,224.71,1730470440000000000,473
JPM,16122,224.77,224.83,224.88,224.66,1730470500000000000,516
JPM,13939,224.85,224.86,224.9,224.8,1730470560000000000,477
JPM,14245,224.86,224.9201,224.93,224.71,1730470620000000000,490
JPM,26733,224.93,225.01,225.03,224.91,1730470680000000000,688
JPM,19926,224.98,225.01,225.01,224.78,1730470740000000000,431
JPM,11957,225.02,225,225.07,224.9769,1730470800000000000,393
JPM,23279,224.9947,225.2,225.23,224.97,1730470860000000000,457
JPM,12927,225.19,225.27,225.27,225.15,1730470920000000000,378
JPM,13020,225.27,225,225.2725,225,1730470980000000000,455
JPM,13261,225.03,225.02,225.16,225.02,1730471040000000000,435
JPM,14443,225.05,225.13,225.15,225.02,1730471100000000000,505
JPM,15443,225.145,225.1,225.19,225.08,1730471160000000000,523
JPM,61117,225.14,225.2053,225.28,225.14,1730471220000000000,469
JPM,14836,225.23,225.345,225.37,225.23,1730471280000000000,520
JPM,16549,225.355,225.55,225.55,225.355,1730471340000000000,527
JPM,10221,225.54,225.44,225.55,225.43,1730471400000000000,451
JPM,10637,225.46,225.53,225.55,225.43,1730471460000000000,478
JPM,7850,225.54,225.48,225.54,225.45,1730471520000000000,388
JPM,23493,225.47,225.31,225.51,225.31,1730471580000000000,511
JPM,12997,225.2597,225.345,225.35,225.18,1730471640000000000,341
JPM,15372,225.39,225.26,225.43,225.24,1730471700000000000,386
JPM,10025,225.25,225.185,225.31,225.1,1730471760000000000,370
JPM,12068,225.19,225.1578,225.23,225.08,1730471820000000000,347
JPM,10364,225.165,225.2201,225.33,225.165,1730471880000000000,277
JPM,15649,225.25,225.43,225.43,225.22,1730471940000000000,324
JPM,16566,225.44,225.35,225.45,225.27,1730472000000000000,295
JPM,16301,225.34,225.4,225.43,225.3,1730472060000000000,280
JPM,42764,225.39,225.515,225.53,225.3845,1730472120000000000,487
JPM,31159,225.5043,225.415,225.52,225.33,1730472180000000000,530
JPM,12152,225.4,225.199,225.49,225.199,1730472240000000000,227
