ticker,volume,open,close,high,low,window_start,transactions
AAPL,10331,235.5,235.09,235.5,234.6,1732698000000000000,175
AAPL,1808,235.09,235.06,235.09,235.06,1732698060000000000,64
AAPL,2220,235.07,235.06,235.08,235.06,1732698120000000000,85
AAPL,2048,235.1,235.16,235.21,235.1,1732698180000000000,68
AAPL,740,235.08,235.08,235.08,235.08,1732698300000000000,35
AAPL,393,234.61,234.61,234.61,234.61,1732698360000000000,12
AAPL,2996,234.62,234.6,234.62,234.6,1732698420000000000,31
AAPL,1257,234.52,234.7,234.7,234.52,1732698480000000000,29
AAPL,1919,234.63,234.65,234.65,234.62,1732698600000000000,20
AAPL,200,234.68,234.68,234.68,234.68,1732698660000000000,7
AAPL,539,234.66,234.65,234.66,234.65,1732698720000000000,17
AAPL,447,234.7,234.7,234.7,234.7,1732698840000000000,11
AAPL,453,234.62,234.62,234.62,234.62,1732698900000000000,11
AAPL,634,234.63,234.62,234.63,234.62,1732699020000000000,16
AAPL,1641,234.62,234.52,234.62,234.52,1732699080000000000,27
AAPL,788,234.48,234.48,234.48,234.48,1732699140000000000,26
AAPL,282,234.27,234.27,234.27,234.27,1732699260000000000,6
AAPL,1305,234.22,234.17,234.32,234.17,1732699440000000000,25
AAPL,453,234.23,234.23,234.23,234.23,1732699500000000000,14
AAPL,224,234.13,234.13,234.13,234.13,1732699560000000000,9
AAPL,1566,234.38,234.37,234.38,234.37,1732699800000000000,51
AAPL,1144,234.42,234.48,234.48,234.42,1732699860000000000,14
AAPL,253,234.48,234.48,234.48,234.48,1732700340000000000,13
AAPL,1863,234.36,234.51,234.52,234.3,1732700400000000000,38
AAPL,204,234.35,234.35,234.35,234.35,1732700700000000000,4
AAPL,1161,234.47,234.52,234.52,234.47,1732700820000000000,26
AAPL,887,234.58,234.59,234.59,234.58,1732700880000000000,18
AAPL,364,234.33,234.32,234.33,234.32,1732701120000000000,4
AAPL,452,234.33,234.32,234.33,234.32,1732701180000000000,8
AAPL,2101,234.41,234.4,234.42,234.4,1732701360000000000,22
AAPL,957,234.39,234.4,234.4,234.39,1732701420000000000,8
AAPL,792,234.34,234.37,234.37,234.33,1732701780000000000,29
AAPL,709,234.33,234.47,234.47,234.33,1732701840000000000,18
AAPL,741,234.49,234.49,234.49,234.49,1732701900000000000,10
AAPL,359,234.4,234.4,234.4,234.4,1732701960000000000,3
AAPL,1972,234.33,234.3,234.33,234.3,1732702260000000000,12
AAPL,782,234.31,234.31,234.31,234.3,1732702320000000000,11
